"繰越ID","経理区分","年度","科目ID","前期繰越額","貸借区分"
6728,1,,95,\0,"借+"
6729,2,,95,\0,"借+"
6730,3,,95,\0,"借+"
6731,0,,96,\0,"借+"
6732,1,,96,\0,"借+"
6733,2,,96,\0,"借+"
6734,3,,96,\0,"借+"
6735,0,,97,\0,"借+"
6736,1,,97,\0,"借+"
6737,2,,97,\0,"借+"
6738,3,,97,\0,"借+"
6739,0,,98,\0,"借+"
6740,1,,98,\0,"借+"
6741,2,,98,\0,"借+"
6742,3,,98,\0,"借+"
6743,0,,99,\0,"借+"
6744,1,,99,\0,"借+"
6745,2,,99,\0,"借+"
6746,3,,99,\0,"借+"
6747,0,,100,\0,"借+"
6748,1,,100,\0,"借+"
6749,2,,100,\0,"借+"
6750,3,,100,\0,"借+"
6751,0,,101,\0,"借+"
6752,1,,101,\0,"借+"
6753,2,,101,\0,"借+"
6754,3,,101,\0,"借+"
6755,0,,102,\0,"借+"
6756,1,,102,\0,"借+"
6757,2,,102,\0,"借+"
6758,3,,102,\0,"借+"
6759,0,,103,\0,"借+"
6760,1,,103,\0,"借+"
6761,2,,103,\0,"借+"
6762,3,,103,\0,"借+"
6763,0,,104,\0,"借+"
6764,1,,104,\0,"借+"
6765,2,,104,\0,"借+"
6766,3,,104,\0,"借+"
6767,0,,105,\0,"借+"
6768,1,,105,\0,"借+"
6769,2,,105,\0,"借+"
6770,3,,105,\0,"借+"
6771,0,,106,\0,"借+"
6772,1,,106,\0,"借+"
6773,2,,106,\0,"借+"
6774,3,,106,\0,"借+"
6775,0,,107,\0,"借+"
6776,1,,107,\0,"借+"
6777,2,,107,\0,"借+"
6778,3,,107,\0,"借+"
6779,0,,108,\0,"借+"
6780,1,,108,\0,"借+"
6781,2,,108,\0,"借+"
6782,3,,108,\0,"借+"
6783,0,,109,\0,"借+"
6784,1,,109,\0,"借+"
6785,2,,109,\0,"借+"
6786,3,,109,\0,"借+"
6787,0,,110,\0,"借+"
6788,1,,110,\0,"借+"
6789,2,,110,\0,"借+"
6790,3,,110,\0,"借+"
6791,0,,111,\0,"借+"
6792,1,,111,\0,"借+"
6793,2,,111,\0,"借+"
6794,3,,111,\0,"借+"
6795,0,,112,\0,"借+"
6796,1,,112,\0,"借+"
6797,2,,112,\0,"借+"
6798,3,,112,\0,"借+"
6799,0,,113,\0,"借+"
6800,1,,113,\11792,"借+"
6801,2,,113,\0,"借+"
6802,3,,113,\48764,"借+"
6803,0,,114,\12124199,"借+"
6804,1,,114,\11062183,"借+"
6805,2,,114,\0,"借+"
6806,3,,114,\7976896,"借+"
6807,0,,115,\0,"借+"
6808,1,,115,\0,"借+"
6809,2,,115,\0,"借+"
6810,3,,115,\0,"借+"
6811,0,,116,\0,"借+"
6812,1,,116,\5508640,"借+"
6813,2,,116,\0,"借+"
6814,3,,116,\10844258,"借+"
6815,0,,117,\0,"借+"
6816,1,,117,\0,"借+"
6817,2,,117,\0,"借+"
6818,3,,117,\0,"借+"
6819,0,,118,\0,"借+"
6820,1,,118,\0,"借+"
6821,2,,118,\0,"借+"
6822,3,,118,\0,"借+"
6823,0,,119,\0,"借+"
6824,1,,119,\0,"借+"
6825,2,,119,\0,"借+"
6826,3,,119,\0,"借+"
6827,0,,120,\0,"借+"
6828,1,,120,\0,"借+"
6829,2,,120,\0,"借+"
6830,3,,120,\0,"借+"
6831,0,,121,\0,"借+"
6832,1,,121,\0,"借+"
6833,2,,121,\0,"借+"
6834,3,,121,\0,"借+"
6835,0,,122,\0,"借+"
6836,1,,122,\0,"借+"
6837,2,,122,\0,"借+"
6838,3,,122,\0,"借+"
6839,0,,123,\0,"借+"
6840,1,,123,\8667126,"借+"
6841,2,,123,\0,"借+"
6842,3,,123,\2869312,"借+"
6843,0,,124,\0,"借+"
6844,1,,124,\0,"借+"
6845,2,,124,\0,"借+"
6846,3,,124,\0,"借+"
6847,0,,125,\0,"借+"
6848,1,,125,\0,"借+"
6849,2,,125,\0,"借+"
6850,3,,125,\0,"借+"
6851,0,,126,\0,"借+"
6852,1,,126,\0,"借+"
6853,2,,126,\0,"借+"
6854,3,,126,\0,"借+"
6855,0,,127,\0,"借+"
6856,1,,127,\0,"借+"
6857,2,,127,\0,"借+"
6858,3,,127,\1,"借+"
6859,0,,128,\0,"借+"
6860,1,,128,\0,"借+"
6861,2,,128,\0,"借+"
6862,3,,128,\0,"借+"
6863,0,,129,\0,"借+"
6864,1,,129,\0,"借+"
6865,2,,129,\0,"借+"
6866,3,,129,\0,"借+"
6867,0,,130,\0,"借+"
6868,1,,130,\2988988,"借+"
6869,2,,130,\0,"借+"
6870,3,,130,\6245545,"借+"
6871,0,,131,\0,"借+"
6872,1,,131,\0,"借+"
6873,2,,131,\0,"借+"
6874,3,,131,\0,"借+"
6875,0,,132,\0,"借+"
6876,1,,132,\0,"借+"
6877,2,,132,\0,"借+"
6878,3,,132,\0,"借+"
6879,0,,133,\0,"借+"
6880,1,,133,\0,"借+"
6881,2,,133,\0,"借+"
6882,3,,133,\0,"借+"
6883,0,,134,\0,"借+"
6884,1,,134,\0,"借+"
6885,2,,134,\0,"借+"
6886,3,,134,\0,"借+"
6887,0,,135,\0,"借+"
6888,1,,135,\0,"借+"
6889,2,,135,\0,"借+"
6890,3,,135,\0,"借+"
6891,0,,136,\0,"借+"
6892,1,,136,\0,"借+"
6893,2,,136,\0,"借+"
6894,3,,136,\0,"借+"
6895,0,,137,\0,"借+"
6896,1,,137,\0,"借+"
6897,2,,137,\0,"借+"
6898,3,,137,\0,"借+"
6899,0,,139,\0,"借+"
6900,1,,139,\0,"借+"
6901,2,,139,\0,"借+"
6902,3,,139,\0,"借+"
6903,0,,140,\0,"借+"
6904,1,,140,\0,"借+"
6905,2,,140,\0,"借+"
6906,3,,140,\0,"借+"
6907,0,,141,\0,"貸+"
6908,1,,141,\0,"貸+"
6909,2,,141,\0,"貸+"
6910,3,,141,\0,"貸+"
6911,0,,142,\0,"貸+"
6912,1,,142,\13466359,"貸+"
6913,2,,142,\0,"貸+"
6914,3,,142,\7915128,"貸+"
6915,0,,143,\0,"貸+"
6916,1,,143,\486287,"貸+"
6917,2,,143,\0,"貸+"
6918,3,,143,\656015,"貸+"
6919,0,,144,\0,"貸+"
6920,1,,144,\0,"貸+"
6921,2,,144,\0,"貸+"
6922,3,,144,\0,"貸+"
6923,0,,145,\0,"貸+"
6924,1,,145,\0,"貸+"
6925,2,,145,\0,"貸+"
6926,3,,145,\0,"貸+"
6927,0,,146,\0,"貸+"
6928,1,,146,\0,"貸+"
6929,2,,146,\0,"貸+"
6930,3,,146,\0,"貸+"
6931,0,,147,\0,"貸+"
6932,1,,147,\0,"貸+"
6933,2,,147,\0,"貸+"
6934,3,,147,\0,"貸+"
6935,0,,148,\0,"貸+"
6936,1,,148,\0,"貸+"
6937,2,,148,\0,"貸+"
6938,3,,148,\0,"貸+"
6939,0,,149,\0,"貸+"
6940,1,,149,\0,"貸+"
6941,2,,149,\0,"貸+"
6942,3,,149,\0,"貸+"
6943,0,,150,\0,"貸+"
6944,1,,150,\2726360,"貸+"
6945,2,,150,\0,"貸+"
6946,3,,150,\1093720,"貸+"
6947,0,,151,\0,"貸+"
6948,1,,151,\0,"貸+"
6949,2,,151,\0,"貸+"
6950,3,,151,\0,"貸+"
6951,0,,152,\0,"貸+"
6952,1,,152,\28057275,"貸+"
6953,2,,152,\0,"貸+"
6954,3,,152,\53266270,"貸+"
6955,0,,153,\0,"貸+"
6956,1,,153,\1442280,"貸+"
6957,2,,153,\0,"貸+"
6958,3,,153,\2,"貸+"
6959,0,,154,\0,"貸+"
6960,1,,154,\0,"貸+"
6961,2,,154,\0,"貸+"
6962,3,,154,\0,"貸+"
6963,0,,155,\12124199,"貸+"
6964,1,,155,-\15570056,"貸+"
6965,2,,155,\0,"貸+"
6966,3,,155,-\32514672,"貸+"
6967,0,,156,\0,"借+"
6968,1,,156,\0,"借+"
6969,2,,156,\0,"借+"
6970,3,,156,\0,"借+"
6971,0,,157,\0,"貸+"
6972,1,,157,\8000000,"貸+"
6973,2,,157,\0,"貸+"
6974,3,,157,\10330800,"貸+"
6975,0,,159,\0,"借+"
6976,1,,159,\8000000,"借+"
6977,2,,159,\0,"借+"
6978,3,,159,\10330800,"借+"
6979,0,,161,\0,"借+"
6980,1,,161,\0,"借+"
6981,2,,161,\0,"借+"
6982,3,,161,\0,"借+"
6983,0,,162,\0,"借+"
6984,1,,162,\0,"借+"
6985,2,,162,\0,"借+"
6986,3,,162,\0,"借+"
6987,0,,163,\0,"借+"
6988,1,,163,\22336,"借+"
6989,2,,163,\0,"借+"
6990,3,,163,\5707,"借+"
6991,0,,165,\0,"借+"
6992,1,,165,\0,"借+"
6993,2,,165,\0,"借+"
6994,3,,165,\0,"借+"
6995,0,,166,\0,"借+"
6996,1,,166,\0,"借+"
6997,2,,166,\0,"借+"
6998,3,,166,\0,"借+"
